# phase-0 frame of FUN_005946f0 (sentinel 0x595259). EBASE=0x003079e4; columns = [esp+off].
# RUN: CALL 0 RET steps=466
EBASE 0x003079e4
F 0x4d8 114688
F 0x4dc 196608
F 0x4e0 98304
F 0x4e4 139264
F 0x4e8 0
F 0x4ec 98304
F 0x4f0 4294828032
F 0x4f4 0
F 0x4f8 4294770688
F 0x4fc 114688
F 0x500 196608
F 0x504 4294770688
F 0x508 4294852608
F 0x50c 196608
F 0x510 4294868992
F 0x514 4294828032
F 0x518 0
F 0x51c 4294868992
F 0x520 139264
F 0x524 0
F 0x528 262144
F 0x52c 73728
F 0x530 196608
F 0x534 196608
F 0x538 114688
F 0x53c 196608
F 0x540 98304
F 0x544 81920
F 0x548 0
F 0x54c 163840
F 0x550 139264
F 0x554 0
F 0x558 4294705152
F 0x55c 4294893568
F 0x560 196608
F 0x564 4294770688
F 0x568 4294852608
F 0x56c 196608
F 0x570 4294868992
F 0x574 4294885376
F 0x578 0
F 0x57c 4294803456
F 0x580 4294828032
F 0x584 0
F 0x588 4294770688
F 0x58c 114688
F 0x590 196608
F 0x594 4294705152
F 0x598 73728
F 0x59c 196608
F 0x5a0 4294803456
F 0x5a4 139264
F 0x5a8 0
F 0x5ac 4294868992
F 0x5b0 81920
F 0x5b4 0
F 0x5b8 196608
F 0x5bc 4294852608
F 0x5c0 196608
F 0x5c4 262144
F 0x5c8 4294893568
F 0x5cc 196608
F 0x5d0 163840
F 0x5d4 4294828032
F 0x5d8 0
F 0x5dc 98304
F 0x5e0 4294885376
F 0x5e4 0
F 0x5e8 0
F 0x5ec 0
F 0x5f0 0
F 0x5f4 0
F 0x5f8 0
F 0x5fc 0
F 0x600 0
F 0x604 0
F 0x608 0
F 0x60c 0
F 0x610 0
F 0x614 0
F 0x618 5853785
F 0x61c 0
F 0x620 0
F 0x624 0
F 0x628 0
