# Oracle FUN_005a9490 Slice C (post-scan tail). Driven from true entry to the real RET.
# Row: B9490c <name> | 0x230040=<action> ... 0x6d3184=<rng post-state> (signed LE).
B9490c clr_far | 0x230040=0 0x23002c=5 0x230054=0 0x280020=42512 0x280024=129 0x280028=2742 0x280040=0 0x280044=2293760 0x280048=0 0x280054=0 0x280080=4661 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 0x2a0458=0 0x6d3184=266623053 
B9490c clr_close | 0x230040=0 0x23002c=5 0x230054=0 0x280020=4294941978 0x280024=6758 0x280028=0 0x280040=0 0x280044=2293760 0x280048=0 0x280054=0 0x280080=4661 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 0x2a0458=0 0x6d3184=266623053 
B9490c clr_wide | 0x230040=0 0x23002c=5 0x230054=0 0x280020=34810 0x280024=4294958002 0x280028=0 0x280040=0 0x280044=2293760 0x280048=0 0x280054=0 0x280080=4661 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 0x2a0458=0 0x6d3184=266623053 
B9490c clr_out | 0x230040=0 0x23002c=5 0x230054=0 0x280020=65536 0x280024=0 0x280028=0 0x280040=0 0x280044=0 0x280048=0 0x280054=0 0x280080=4660 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 0x2a0458=0 0x6d3184=1234 
B9490c chase | 0x230040=11 0x23002c=0 0x230054=0 0x280020=12288 0x280024=0 0x280028=0 0x280040=0 0x280044=0 0x280048=0 0x280054=0 0x280080=4660 0x280068=0 0x28006c=0 0x28009c=0 0x2800a0=0 0x2800a4=0 0x2a0458=0 0x6d3184=1234 
B9490c ctl_low | 0x230040=11 0x23002c=0 0x230054=0 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280044=2293760 0x280048=2293760 0x280054=0 0x280080=4661 0x280068=1 0x28006c=36 0x28009c=19660 0x2800a0=29 0x2800a4=0 0x2a0458=0 0x6d3184=1234 
B9490c ctl_high | 0x230040=13 0x23002c=0 0x230054=0 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280044=2293760 0x280048=2293760 0x280054=0 0x280080=4661 0x280068=1 0x28006c=52 0x28009c=19660 0x2800a0=29 0x2800a4=0 0x2a0458=0 0x6d3184=1234 
B9490c own62 | 0x230040=11 0x23002c=0 0x230054=0 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280044=2293760 0x280048=2293760 0x280054=0 0x280080=4661 0x280068=1 0x28006c=36 0x28009c=19660 0x2800a0=29 0x2800a4=0 0x2a0458=0 0x6d3184=266623053 
B9490c foreign62 | 0x230040=11 0x23002c=0 0x230054=0 0x280020=0 0x280024=0 0x280028=0 0x280040=2293760 0x280044=2293760 0x280048=2293760 0x280054=0 0x280080=4661 0x280068=1 0x28006c=36 0x28009c=19660 0x2800a0=29 0x2800a4=0 0x2a0458=0 0x6d3184=266623053 
