# Oracle FUN_005aafd0 (non-controller possession tail). Field mutations + EAX + rng draw count read at
# RET. Row: AAFD0 <name> eax=<v> draws=<n> | <abs-addr>=<signed LE> ... . p=0x230000 ball=0x280000
# m=0x2a0000 gs=0x2b0000 carrier=0x2c0000 stats=0x2d0000; rng final = 0x6d3184.
AAFD0 bvf_near EAX=1 draws=2 | 0x230020=1021 0x230024=4294967231 0x230028=0 0x230080=1 0x230084=44 0x230066=64862 0x230094=44924 0x230098=4294964436 0x23009c=0 0x2300ac=0 0x230060=0 0x230062=0 0x2d0090=1 0x6d3184=2161445340 
AAFD0 bvf_far EAX=1 draws=5 | 0x230020=6143 0x230024=4294967211 0x230028=0 0x230080=1 0x230084=44 0x230066=65384 0x230094=270292 0x230098=4294963556 0x23009c=0 0x2300ac=0 0x230060=0 0x230062=0 0x2d0090=1 0x6d3184=3658490145 
AAFD0 bvf_bigp68 EAX=1 draws=5 | 0x230020=6136 0x230024=4294966994 0x230028=0 0x230080=1 0x230084=44 0x230066=65002 0x230094=269984 0x230098=4294954008 0x23009c=0 0x2300ac=0 0x230060=0 0x230062=0 0x2d0090=1 0x6d3184=3658490145 
AAFD0 bvt EAX=2883585 draws=4 | 0x230020=5118 0x230024=4294967178 0x230028=0 0x230080=1 0x230084=44 0x230066=65282 0x230094=225192 0x230098=4294962104 0x23009c=0 0x2300ac=2883584 0x230060=0 0x230062=0 0x2d0090=1 0x6d3184=573982518 
AAFD0 gate_ballz EAX=0 draws=0 | 0x230020=0 0x230024=0 0x230028=0 0x230080=0 0x230084=0 0x230066=0 0x230094=0 0x230098=0 0x23009c=0 0x2300ac=0 0x230060=0 0x230062=0 0x2d0090=0 0x6d3184=1234 
AAFD0 gate_caroff EAX=2883584 draws=0 | 0x230020=0 0x230024=0 0x230028=0 0x230080=0 0x230084=0 0x230066=0 0x230094=0 0x230098=0 0x23009c=0 0x2300ac=0 0x230060=0 0x230062=0 0x2d0090=0 0x6d3184=1234 
AAFD0 gate_engaged EAX=0 draws=0 | 0x230020=0 0x230024=0 0x230028=0 0x230080=0 0x230084=0 0x230066=0 0x230094=0 0x230098=0 0x23009c=0 0x2300ac=0 0x230060=0 0x230062=0 0x2d0090=0 0x6d3184=1234 
AAFD0 gate_heading EAX=16384 draws=0 | 0x230020=0 0x230024=0 0x230028=0 0x230080=0 0x230084=0 0x230066=0 0x230094=0 0x230098=0 0x23009c=0 0x2300ac=0 0x230060=0 0x230062=0 0x2d0090=0 0x6d3184=1234 
AAFD0 gate_far EAX=229376 draws=0 | 0x230020=0 0x230024=0 0x230028=0 0x230080=0 0x230084=0 0x230066=0 0x230094=0 0x230098=0 0x23009c=0 0x2300ac=0 0x230060=0 0x230062=0 0x2d0090=0 0x6d3184=1234 
